ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"SBIN","EQ","31-Dec-2024","788.30","786.95","799.20","786.00","796.00","794.95","794.69","90,86,044","7,22,06,00,207.70","1,62,712","37,71,662","41.51"
"SBIN","EQ","01-Jan-2025","794.95","795.55","798.65","789.50","794.30","793.20","793.85","72,73,098","5,77,37,33,671.35","1,25,843","34,60,010","47.57"
"SBIN","EQ","02-Jan-2025","793.20","795.00","802.40","787.00","802.25","801.20","795.88","1,13,98,319","9,07,17,09,128.05","2,06,144","57,25,585","50.23"
"SBIN","EQ","03-Jan-2025","801.20","801.20","809.50","792.15","793.30","793.40","798.97","1,33,36,514","10,65,54,90,014.65","2,08,457","69,78,565","52.33"
"SBIN","EQ","06-Jan-2025","793.40","797.40","797.60","773.15","778.40","776.40","781.47","1,14,19,367","8,92,38,76,463.45","2,89,818","49,85,801","43.66"
"SBIN","EQ","07-Jan-2025","776.40","779.85","783.85","774.85","778.40","778.75","778.73","96,69,152","7,52,96,20,598.70","1,88,005","46,36,630","47.95"
"SBIN","EQ","08-Jan-2025","778.75","780.90","783.95","760.10","771.35","771.15","767.67","1,56,41,490","12,00,74,86,384.75","2,77,739","89,59,386","57.28"
"SBIN","T0","08-Jan-2025","778.75","778.85","778.85","778.85","778.85","771.15","778.85","5","3,894.25","1","5","100.00"
"SBIN","EQ","09-Jan-2025","771.15","771.15","771.35","726.25","762.00","760.45","760.13","1,53,51,029","11,66,87,46,480.15","2,58,299","57,49,049","37.45"
"SBIN","T0","09-Jan-2025","771.15","758.10","769.60","758.10","769.60","760.45","768.01","145","1,11,362.00","3","145","100.00"
"SBIN","EQ","10-Jan-2025","760.45","760.35","763.40","742.05","744.80","743.25","748.01","1,17,79,296","8,81,10,43,804.50","2,75,478","52,62,715","44.68"
"SBIN","EQ","13-Jan-2025","743.25","741.50","743.95","722.50","728.95","729.50","733.81","1,04,14,733","7,64,24,74,249.65","2,54,856","42,11,911","40.44"
"SBIN","EQ","14-Jan-2025","729.50","732.95","757.00","732.95","750.50","748.15","748.73","1,19,60,975","8,95,55,85,470.30","2,42,233","53,83,740","45.01"
"SBIN","EQ","15-Jan-2025","748.15","753.15","758.90","750.00","754.95","753.70","754.48","77,92,299","5,87,91,31,387.45","2,25,171","36,40,939","46.72"
"SBIN","EQ","16-Jan-2025","753.70","760.40","776.70","760.40","767.00","766.30","768.15","1,18,16,079","9,07,65,38,069.20","2,04,032","49,92,233","42.25"
"SBIN","EQ","17-Jan-2025","766.30","766.30","767.95","759.40","763.80","764.10","763.55","57,66,573","4,40,30,52,207.15","1,47,029","22,34,513","38.75"
"SBIN","EQ","20-Jan-2025","764.10","769.00","785.00","767.85","778.50","779.25","778.03","91,98,929","7,15,70,00,810.05","2,11,086","36,54,610","39.73"
"SBIN","EQ","21-Jan-2025","779.25","784.80","784.90","756.05","759.80","759.05","765.52","1,37,51,780","10,52,73,21,816.95","2,78,817","55,52,139","40.37"
"SBIN","EQ","22-Jan-2025","759.05","762.00","763.00","738.00","753.45","753.45","749.23","99,08,339","7,42,35,85,184.00","2,33,659","34,73,841","35.06"
"SBIN","EQ","23-Jan-2025","753.45","750.00","755.65","743.10","746.25","745.90","748.15","1,09,86,405","8,21,94,65,974.00","2,20,737","47,97,148","43.66"
"SBIN","EQ","24-Jan-2025","745.90","749.90","753.70","739.00","744.50","744.15","746.32","1,05,79,213","7,89,54,35,197.00","1,74,627","46,35,075","43.81"
"SBIN","EQ","27-Jan-2025","744.15","740.00","755.35","735.90","747.50","749.20","748.97","1,14,33,353","8,56,32,57,255.50","2,27,844","50,09,216","43.81"
"SBIN","EQ","28-Jan-2025","749.20","757.00","759.75","745.40","752.15","752.40","752.61","1,41,40,860","10,64,26,22,577.40","2,82,284","60,76,473","42.97"
"SBIN","EQ","29-Jan-2025","752.40","753.00","760.80","749.80","758.50","758.45","757.35","92,51,973","7,00,69,56,312.60","2,67,695","51,01,878","55.14"
"SBIN","EQ","30-Jan-2025","758.45","758.55","765.00","754.75","764.50","762.60","760.64","1,10,85,824","8,43,23,70,364.65","2,36,993","48,47,228","43.72"
